% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30
0.1;0.1;6.670481162792027E-7;7.153272324082931E-7;-1.4261876962528883E-6;-6.905256110185774E-7;-1.2862433015699347E-5;1.4050967481455526E-5;-1.3667190306511604E-5;1.8512075458447805E-11;1.3446687080587029E-5;1.15609760586891E-6;1.3388624020875452E-5;-8.226342094326485E-6;-1.3052121935704634E-5;1.3176284441545235E-5;2.401631585523346E-10;1.2983692723182057E-5;-1.2900562735336778E-5;9.576269176780157E-6;-1.6557308589202896E-10;1.2605298789588922E-5;-1.2621154425640676E-5;2.3393227041488914E-6;1.2680890592529906E-5;-2.315776713717254E-10;-1.2512582412381377E-5;1.6025753788744986E-6;-1.1962026267309708E-5;1.1429006367166561E-10;-1.2176038612149978E-5;5.256174436482354E-6
0.3;0.1;6.53844935838127E-7;6.746544895553811E-7;-1.3201025273400137E-6;-9.58474036314539E-7;-1.2580405928166784E-5;1.3990549085377487E-5;-1.323371923175782E-5;8.297627437196718E-7;1.279300268415827E-5;5.470577615933478E-7;1.2721909032735644E-5;-8.627754109902376E-6;-1.1334618467242221E-5;1.2244932141685464E-5;-1.5366256666884952E-6;1.1862703531396056E-5;-1.1099120641986601E-5;9.467590874472688E-6;-1.974068949990908E-6;1.1109806587186515E-5;-1.0885042610517069E-5;3.4104121672812266E-6;1.1236106736429034E-5;-1.2648054030947834E-6;-1.0906598584021161E-5;-1.1303236606644678E-6;-1.0391267066207029E-5;2.602361608680217E-6;-1.024654322967542E-5;5.074420796577486E-6
0.5;0.1;6.406417570374593E-7;6.339817466151942E-7;-1.214017360446145E-6;-1.2264224664697473E-6;-1.2298378857653982E-5;1.3930130682918763E-5;-1.2795508179588669E-5;1.6575826623597368E-6;1.213746794030073E-5;-6.11970033672167E-8;1.2042167099452169E-5;-9.01656063356043E-6;-9.617308649579784E-6;1.1277642309792055E-5;-3.060037999983699E-6;1.0720879778908644E-5;-9.241459051652295E-6;9.301006523080075E-6;-3.9110468164211E-6;9.612573511301096E-6;-9.125512531025021E-6;4.448732423435132E-6;9.681122664722304E-6;-2.5006170699633846E-6;-9.224482798350686E-6;-3.7718284079975874E-6;-8.83761457735783E-6;5.111958615084283E-6;-8.299228937249903E-6;4.81704989319058E-6
0.7000000000000001;0.1;6.274385808026411E-7;5.933090033121507E-7;-1.107932196198417E-6;-1.494370904828689E-6;-1.2016351805820083E-5;1.386971225779233E-5;-1.2350017914355431E-5;2.4816671997619527E-6;1.1479969681935677E-5;-6.671711674395866E-7;1.1343520060013616E-5;-9.385385206388103E-6;-7.908325395988001E-6;1.0259281377573484E-5;-4.555870914875573E-6;9.55478936957342E-6;-7.314659957506096E-6;9.048587024959155E-6;-5.774167606492073E-6;8.133348974767418E-6;-7.3549356921306345E-6;5.42722502905781E-6;7.983214764140275E-6;-3.674831406817336E-6;-7.4593425607393125E-6;-6.226027213832742E-6;-7.354010205374211E-6;7.434505990269296E-6;-6.3799825885455865E-6;4.453976946000655E-6
0.8999999999999999;0.1;6.142354080335187E-7;5.526362593554965E-7;-1.0018470347887724E-6;-1.7623193544202043E-6;-1.1734324766397407E-5;1.3809293784238642E-5;-1.1895302519632234E-5;3.29980625564927E-6;1.0821276925945012E-5;-1.2685695078201126E-6;1.0622494979743737E-5;-9.727628123652256E-6;-6.2214168782567195E-6;9.182014098744256E-6;-6.006216850814213E-6;8.368686963219139E-6;-5.324573383251799E-6;8.690849603480062E-6;-7.519302417029702E-6;6.704286828033477E-6;-5.603674890597574E-6;6.315979841805998E-6;6.139896429885507E-6;-4.745832912780576E-6;-5.6336595869469935E-6;-8.382088417114391E-6;-6.0121905379270256E-6;9.46109010987187E-6;-4.564773292460841E-6;3.969059262947849E-6
1.1;0.1;6.01032239692878E-7;5.119635144715962E-7;-8.957618762836892E-7;-2.0302678176350938E-6;-1.145229772662718E-5;1.3748875228184347E-5;-1.142986399883525E-5;4.109457396709161E-6;1.0162873193416663E-5;-1.8624229587967757E-6;9.87746768938675E-6;-1.0037351150977664E-5;-4.574382652492181E-6;8.043536547402783E-6;-7.390362962913038E-6;7.172398965013455E-6;-3.2907647390622396E-6;8.214620775277912E-6;-9.099135586589999E-6;5.364687300915318E-6;-3.913208288233627E-6;7.084325011168815E-6;4.170421031877784E-6;-5.667279676959293E-6;-3.788881642439445E-6;-1.013005765382314E-5;-4.889042922306525E-6;1.108325119932783E-5;-2.941699937540438E-6;3.356051671643534E-6
1.3;0.1;5.878290767995706E-7;4.7129076851213376E-7;-7.896767207507821E-7;-2.2982162959662196E-6;-1.1170270668528546E-5;1.3688456548470336E-5;-1.0952553249800257E-5;4.90779386073283E-6;9.506832410899834E-6;-2.4451902788206343E-6;9.108273568275761E-6;-1.0309244432104498E-5;-2.9877990391598694E-6;6.845843381294543E-6;-8.685699058106924E-6;5.979712970465786E-6;-1.2427084479141597E-6;7.611784790591548E-6;-1.0466791150929987E-5;4.15667037217594E-6;-2.330615763467133E-6;7.702888200085448E-6;2.109756390610948E-6;-6.391983113833572E-6;-1.977509592100646E-6;-1.1374447732851257E-5;-4.055487866653853E-6;1.2206073096298335E-5;-1.596676754583501E-6;2.6164067392204992E-6
1.5;0.1;5.746259205632038E-7;4.306180215207224E-7;-6.835915685575817E-7;-2.5661647898242513E-6;-1.0888243570220845E-5;1.3628037698498324E-5;-1.0462523405083929E-5;5.691746385485609E-6;8.855729131642862E-6;-3.012845684785329E-6;8.315984381885424E-6;-1.0538679318009681E-5;-1.4839191429157617E-6;5.594496613654515E-6;-9.868627166528795E-6;4.8071598945996425E-6;7.830014380253564E-7;6.878813171235077E-6;-1.1579243865397093E-5;3.121430290070113E-6;-9.040136333513011E-7;8.145664802233302E-6;4.483437511415423E-9;-6.875692386037025E-6;-2.5699887831589013E-7;-1.2045848773228863E-5;-3.5671803317748673E-6;1.2759504484697985E-5;-6.018208047236971E-7;1.7584028856002816E-6
1.7000000000000002;0.1;5.614227721543952E-7;3.899452738112286E-7;-5.775064202542084E-7;-2.834113298420783E-6;-1.0606216407562597E-5;1.3567618628532357E-5;-9.95919898621644E-6;6.458061167361008E-6;8.212540328937025E-6;-3.5609934678123766E-6;7.502715453454313E-6;-1.072180452632181E-5;-8.550822682062233E-8;4.2979775000496195E-6;-1.0915617816363383E-5;3.672815808267787E-6;2.7454078128050192E-6;6.016509569479967E-6;-1.2400611120837352E-5;2.2956961056707426E-6;3.2175284638332146E-7;8.392032114053482E-6;-2.091124964888564E-6;-7.080881204821557E-6;1.3159037488137293E-6;-1.2110006277408092E-5;-3.4570348619038475E-6;1.2707346554326191E-5;-5.985852801369147E-9;7.965523993856482E-7
1.9;0.1;5.482196325619788E-7;3.492725259014673E-7;-4.714212766176725E-7;-3.102061819686182E-6;-1.0324189155700057E-5;1.350719928779702E-5;-9.44223641500308E-6;7.2033380191478455E-6;7.580572316452955E-6;-4.084949023378221E-6;6.671447588646658E-6;-1.0855626451060893E-5;1.185072996876696E-6;2.9671240747210967E-6;-1.1804027531182165E-5;2.595326440980633E-6;4.601433439937963E-6;5.02973595420665E-6;-1.2904641079289745E-5;1.7090721092111876E-6;1.3084315474467781E-6;8.428224285539756E-6;-4.118328234274789E-6;-6.979578770094703E-6;2.689597715721161E-6;-1.1573007866669202E-5;-3.730720075388223E-6;1.2052431273108035E-5;1.7122267772727664E-7;-2.4893091236354974E-7
2.1;0.1;5.350165029334277E-7;3.085997784506228E-7;-3.6533613916388064E-7;-3.370010350278414E-6;-1.0042161790445915E-5;1.3446779626715174E-5;-8.91150946778247E-6;7.924091187061282E-6;6.9633667004621564E-6;-4.579859468061287E-6;5.825882057635088E-6;-1.0938095054929445E-5;2.306899927698576E-6;1.6146327846150697E-6;-1.2513083444432643E-5;1.5928987089627806E-6;6.3081976262388545E-6;3.927277263132153E-6;-1.307683282311925E-5;1.3815899148306152E-6;2.0274000139150766E-6;8.248555181053695E-6;-6.0172195596669276E-6;-6.556000475440441E-6;3.821651746405018E-6;-1.0482790208438391E-5;-4.364393451147449E-6;1.083831827475925E-5;-5.724273136998218E-8;-1.3526403099919041E-6
2.3000000000000003;0.1;5.218133843131401E-7;2.6792703199503255E-7;-2.5925101007375535E-7;-3.6379588855494554E-6;-9.760134289224976E-6;1.338635959836384E-5;-8.367088226392785E-6;8.616783484573941E-6;6.364644352742546E-6;-5.040777990330376E-6;4.970328321915902E-6;-1.0968187466445292E-5;3.2611867309745594E-6;2.5469379324091375E-7;-1.302457030757892E-5;6.825990103112588E-7;7.824671988591377E-6;2.7217105397823293E-6;-1.2915685577296497E-5;1.3223575329825844E-6;2.4614874907261336E-6;7.856080992288892E-6;-7.729159523076596E-6;-5.808097181330338E-6;4.68132326828412E-6;-8.927077781329572E-6;-5.305691436140515E-6;9.147501785994465E-6;-6.462936235138346E-7;-2.4844302956820222E-6
2.5;0.1;5.086102777321672E-7;2.2725428695285546E-7;-1.5316589227415658E-7;-3.905907419649205E-6;-9.478106632110093E-6;1.3325939160201273E-5;-7.809221538995202E-6;9.277880181695052E-6;5.788220085446751E-6;-5.462775359165415E-6;4.109564438605254E-6;-1.0945946011451073E-5;4.0320964940838005E-6;-1.0974829508343934E-6;-1.3323603446336646E-5;-1.2046541226889892E-7;9.113628937984394E-6;1.429096511173845E-6;-1.2433348985059099E-5;1.5284799179867237E-6;2.6065239460318957E-6;7.262802527620803E-6;-9.199738985323514E-6;-4.748580713458547E-6;5.251857654301027E-6;-7.027590327849241E-6;-6.476833343872527E-6;7.095988832320468E-6;-1.5215567238098224E-6;-3.6103166611636694E-6
