% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
0.05;0.05;-3.656717835792484E-8;-1.8468815416236764E-8;-7.775520509529269E-8;-2.4767785027387642E-6;-8.128731551958194E-6;7.618884462730219E-6;-8.273508878736376E-6;-1.918037633600527E-8;8.153407582168904E-6;5.444736349100833E-6;-8.130748701229859E-6;-2.1295581900613045E-6;7.965196054408726E-6;8.021290846359337E-6;-2.8126712653659357E-10;7.929697777715303E-6;7.888739425618013E-6;-4.570087359641899E-6;4.292993108137925E-9;7.7377939350613E-6;-7.747004932279253E-6;-3.389039472161319E-6;7.776644178703176E-6;-3.9325617432865604E-10;7.69471120309844E-6;6.906613421474246E-6;3.931350279369211E-6;2.22003736396807E-9;7.521187974494966E-6;-7.621829931823721E-6;-4.02712064970264E-6;-7.520132147540596E-6;5.66743492995084E-6;6.872270276500195E-6;3.0981242437954727E-9;2.5604916280420314E-9;-7.441866383317222E-6;7.336387120179401E-6;-7.32328426805842E-6;-1.0569577275031836E-6
0.15000000000000002;0.05;-3.507015497491645E-8;-2.1330881940917724E-8;-7.738889409824446E-8;-2.5583462931914576E-6;-7.934899113540387E-6;7.636466850148732E-6;-8.05686542032655E-6;3.9829751879079733E-7;7.826582035506992E-6;4.9312966528847766E-6;-7.957336813650255E-6;-2.5242600805600478E-6;7.296511700581289E-6;7.556428027546196E-6;-7.741859467320325E-7;7.368501139551106E-6;7.512485964514914E-6;-3.822486371191496E-6;-9.931882500901614E-7;6.987330243426567E-6;-6.703887528992698E-6;-3.7452001562444273E-6;7.056162179832726E-6;6.405835816021227E-7;6.8919324354193856E-6;5.352547554186482E-6;4.583940859078797E-6;-1.3177084965154882E-6;6.553524039831987E-6;-6.591702417694404E-6;-3.854661746466186E-6;-5.926557281587251E-6;5.742972849213271E-6;5.99494725421468E-6;-7.484715933407401E-7;-1.5710406119330368E-6;-6.390753499960375E-6;6.179083423047995E-6;-5.974718555616047E-6;-2.122253310129216E-6
0.25;0.05;-3.357320245511317E-8;-2.419306581262938E-8;-7.702264018139448E-8;-2.639921048200277E-6;-7.741076482368953E-6;7.654059639641761E-6;-7.838424147841995E-6;8.149771857836048E-7;7.4989755807043406E-6;4.415283589524198E-6;-7.778430151237753E-6;-2.914579598937226E-6;6.626282281163189E-6;7.077575763406334E-6;-1.5427256530276078E-6;6.7987677805653755E-6;7.108646247108764E-6;-3.0642370645409275E-6;-1.9759853133266703E-6;6.2347151545448416E-6;-5.653003849406578E-6;-4.0850625997530195E-6;6.291852507373282E-6;1.2706207503588113E-6;6.05761555402807E-6;3.82319316369512E-6;5.208773897748532E-6;-2.6017142251192015E-6;5.575152029663035E-6;-5.507297544826939E-6;-3.645964984269262E-6;-4.311539714990511E-6;5.763712842849112E-6;5.022874935192773E-6;-1.4749478557966814E-6;-3.0764425166532335E-6;-5.267741274219361E-6;5.019124787239616E-6;-4.630591546199352E-6;-3.132013473208209E-6
0.35;0.05;-3.2076347487826944E-8;-2.7055420157676412E-8;-7.665647128675059E-8;-2.7215056603187206E-6;-7.5472659725773685E-6;7.67166482119731E-6;-7.617294575798661E-6;1.2303599914846447E-6;7.170472373914371E-6;3.895837090505543E-6;-7.591565448005082E-6;-3.29814463733131E-6;5.955611541722742E-6;6.579090751896355E-6;-2.3019813971482307E-6;6.218671789453017E-6;6.666732347646425E-6;-2.2936260572760907E-6;-2.933722549271061E-6;5.485318643539553E-6;-4.598649128927409E-6;-4.400970395801183E-6;5.470213503898921E-6;1.8804434813673335E-6;5.186732774318951E-6;2.349396152182562E-6;5.792917109304019E-6;-3.822790959719407E-6;4.598179979572359E-6;-4.359783040509407E-6;-3.3887956983719054E-6;-2.691895897992366E-6;5.710603718908744E-6;3.933688692790896E-6;-2.1530511578115087E-6;-4.463474648458726E-6;-4.067990318309874E-6;3.886657442161289E-6;-3.3281507101067603E-6;-4.049352920682767E-6
0.44999999999999996;0.05;-3.0579596529832545E-8;-2.99179789546861E-8;-7.629042486771985E-8;-2.8031024368008322E-6;-7.353467142399937E-6;7.68928130393403E-6;-7.392683377472446E-6;1.6437561424401255E-6;6.841204758876727E-6;3.372700264306367E-6;-7.3946627776000785E-6;-3.671995934768415E-6;5.287197268890158E-6;6.057004926822611E-6;-3.046405488941811E-6;5.628529084331111E-6;6.179503913059153E-6;-1.5127307966398792E-6;-3.852318754304915E-6;4.748813426508721E-6;-3.551654020482104E-6;-4.68461409515688E-6;4.585640072601988E-6;2.4569761839465246E-6;4.282811836448073E-6;9.740419392422261E-7;6.32083247119987E-6;-4.94525937035484E-6;3.6455258022505306E-6;-3.155363052752393E-6;-3.075517959277638E-6;-1.104615048622574E-6;5.569079754799193E-6;2.7260573852950944E-6;-2.751077370021999E-6;-5.669548089046138E-6;-2.8089849112309394E-6;2.8282682643433145E-6;-2.123342473168695E-6;-4.829489887776317E-6
0.5499999999999999;0.05;-2.9082936569780987E-8;-3.2780752742575006E-8;-7.592454252950014E-8;-2.884712721678039E-6;-7.159676948114536E-6;7.706904927321667E-6;-7.1639614461500685E-6;2.0543759590656704E-6;6.511536561264701E-6;2.846214521930373E-6;-7.186200547166071E-6;-4.032996309931793E-6;4.624939876125118E-6;5.509293471178973E-6;-3.769506591584738E-6;5.03059378023816E-6;5.643388183899449E-6;-7.269285804213149E-7;-4.716205204719166E-6;4.037570487461264E-6;-2.527341030917515E-6;-4.928132211025374E-6;3.6402314194238126E-6;2.9851099850969604E-6;3.356432774137711E-6;-2.5606404097095325E-7;6.777273549596897E-6;-5.931290417560583E-6;2.7459421457598823E-6;-1.9127590841490307E-6;-2.7031261135008275E-6;4.014238288908363E-7;5.3303009491572106E-6;1.4175308179300441E-6;-3.234196061031377E-6;-6.633923634974531E-6;-1.524544394895678E-6;1.8957131470424165E-6;-1.077229851153867E-6;-5.429762076316263E-6
0.65;0.05;-2.75863505186613E-8;-3.564374601511241E-8;-7.555887048456228E-8;-2.9663369759073212E-6;-6.965890162260317E-6;7.724528828411448E-6;-6.930628923811867E-6;2.4613270331474233E-6;6.182027693002793E-6;2.317234717866271E-6;-6.965088705775553E-6;-4.377831120114345E-6;3.973688876526646E-6;4.935491246079095E-6;-4.463957680811946E-6;4.428620503591144E-6;5.057681764981942E-6;5.5769442747991836E-8;-5.508947371207342E-6;3.365620355128165E-6;-1.5440324373027374E-6;-5.124088860970571E-6;2.6420903797508147E-6;3.448419618673583E-6;2.4231420578817136E-6;-1.2943372776944263E-6;7.147939977671678E-6;-6.743630337298027E-6;1.930459282993366E-6;-6.596720380553114E-7;-2.2721249736610784E-6;1.7716377309770857E-6;4.99012222824143E-6;4.002718828545017E-8;-3.5675065957908315E-6;-7.304362931576442E-6;-2.5848836956764796E-7;1.1386167900433769E-6;-2.4735060713392584E-7;-5.814146976464263E-6
0.75;0.05;-2.6089826783592937E-8;-3.850696811539443E-8;-7.519345976975309E-8;-3.0479748120497585E-6;-6.772099754641387E-6;7.742143708987174E-6;-6.69227909676964E-6;2.863627848124998E-6;5.8534091949155865E-6;1.7870327015087106E-6;-6.730564477697602E-6;-4.703109644352913E-6;3.3390137195198673E-6;4.336338929062632E-6;-5.121844000632731E-6;3.827487571853028E-6;4.423904090692441E-6;8.254562032275509E-7;-6.214231444728465E-6;2.747748942213376E-6;-6.21578130237643E-7;-5.265794946991254E-6;1.6037632371037088E-6;3.8302137941475125E-6;1.501558122377155E-6;-2.0986483671614965E-6;7.420978498630743E-6;-7.349129584048115E-6;1.2291710366791027E-6;5.706370642602459E-7;-1.7857569566203793E-6;2.951991085108303E-6;4.548928810882698E-6;-1.3645068097634783E-6;-3.719773472292981E-6;-7.6445801099503E-6;9.412607946180442E-7;5.98019773200389E-7;3.200883494404245E-7;-5.958539081389403E-6
0.85;0.05;-2.4593344685323175E-8;-4.137041315462663E-8;-7.482836560241215E-8;-3.1296250247753483E-6;-6.578297386534322E-6;7.759738364361287E-6;-6.448600722307019E-6;3.260239059503167E-6;5.526544851934027E-6;1.2572226493573896E-6;-6.482174343823108E-6;-5.0055121317328375E-6;2.7268649964389487E-6;3.7136192699454466E-6;-5.735047296044982E-6;3.23281039589533E-6;3.745464658233904E-6;1.5710360803910896E-6;-6.8169869421781086E-6;2.198294162067304E-6;2.202926542348137E-7;-5.347681836064032E-6;5.410687613885971E-7;4.114769286200342E-6;6.115796679278076E-7;-2.6356908780202303E-6;7.58800786546124E-6;-7.721968831516394E-6;6.679297990274887E-7;1.742461727443228E-6;-1.2495588805675593E-6;3.894842597945988E-6;4.011389654585137E-6;-2.7479364218752043E-6;-3.6669101019071614E-6;-7.639275706425588E-6;2.0280071840351054E-6;3.008610498765621E-7;5.96716812654144E-7;-5.854128247753635E-6
0.95;0.05;-2.3096864256430144E-8;-4.4234048186078103E-8;-7.446365176753675E-8;-3.211285612394303E-6;-6.38447358364975E-6;7.777299782243692E-6;-6.1993601539296475E-6;3.6500497950664464E-6;5.202430491752239E-6;7.297438745375941E-7;-6.219723869068038E-6;-5.281795045634235E-6;2.1435065625117927E-6;3.0700316773966853E-6;-6.2952883404981004E-6;2.6507977639763466E-6;3.0274302345856367E-6;2.2804945063187933E-6;-7.3037893733207855E-6;1.7306894468685409E-6;9.62659183994429E-7;-5.365420786346584E-6;-5.274813072180484E-7;4.287856238944071E-6;-2.2648302514867484E-7;-2.8830499017553177E-6;7.644645361620425E-6;-7.845238926297004E-6;2.667299550912725E-7;2.81921163503876E-6;-6.711518707348801E-7;4.56197121718389E-6;3.3863296836649737E-6;-4.057987498372611E-6;-3.3939416186314358E-6;-7.296424136004709E-6;2.959122858969954E-6;2.5744325647619294E-7;5.75057726586044E-7;-5.508919595095403E-6
