% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
1;1;9.89983234496666E-6;-5.503714912799689E-6;5.675404829936119E-9;-6.335869305214786E-7;7.841645877502473E-6;9.081115182586725E-7;9.774040564449039E-6;3.954630475930276E-11;7.598943154481218E-6;-7.165343415504903E-6;2.1017918079802241E-7;3.855617994453969E-6;3.978391062424544E-6;5.3756398218587374E-6;3.0184276565331146E-10;3.4220887896625633E-6;-3.3525356739907505E-6;7.880293291441086E-7;-5.810858994423873E-10;-2.077238309474382E-8;-5.398824468189504E-7;1.8355157997842013E-7;-2.2457527059400452E-6;-3.7048095429721284E-10;3.5305144675360014E-7;-1.812553970545211E-6;-3.375479018728343E-6;-7.239224248326358E-10;-3.0329566258243485E-7;4.089031101200745E-8;-2.82420423542831E-6;1.5345500252595755E-6;1.5426438508319296E-6;-1.5660281401128738E-6;-6.832087010706297E-9;1.3542511224127387E-8;9.423062310233783E-7;-5.106212671893097E-6;-3.910486765606655E-6;-5.230807015635354E-6
3;1;6.622583591683534E-6;-3.020900810426897E-6;8.599855702156436E-7;1.8148548471372534E-7;8.826709158268907E-6;1.6918067771427828E-6;5.231931779229279E-6;-6.900418345821162E-6;1.7841696823440554E-6;-6.332257067030249E-7;-4.263618510103693E-6;2.480293053750145E-6;-7.4690310831449606E-6;-2.505286870449699E-6;-7.638245568314581E-6;-3.2118180086133734E-6;3.2104778797065876E-6;-3.992530545100666E-6;-2.6421031793993166E-6;-3.0794897481510124E-6;3.5131259623235164E-6;4.0272402235563745E-7;3.788378372463937E-6;-2.1377886705727775E-6;-2.2526704929487317E-6;-3.5902904214633317E-6;1.4899969848753253E-6;3.178102841577402E-6;1.4564148926407001E-6;-1.924340818092001E-6;-1.217105711188948E-7;-5.52484930037697E-8;-1.6226173115782806E-6;9.887812684183961E-7;1.4728494836795205E-6;8.02676113072091E-6;-1.77300629258882E-6;7.437858016792373E-7;-3.87860259384586E-6;6.237051704512951E-6
5;1;3.3453348384423006E-6;-5.380867080803881E-7;1.7142957356228324E-6;9.965578999125765E-7;9.811772439051312E-6;2.4755020359819015E-6;2.4335892946840314E-10;-9.65730315179077E-6;-7.326666468615005E-7;4.17852010246942E-6;-4.431414373866752E-6;9.637148755902749E-7;1.6600979016489224E-8;-6.664379247450767E-6;-7.505389047842983E-10;-1.7881350183410716E-10;3.2929367419800286E-6;2.0391398321134738E-6;6.303820692918072E-6;4.055245786546885E-6;-4.912366580946449E-6;-2.421659051878961E-6;-2.0356303985238007E-9;3.2377750427089543E-6;3.4695148875416186E-6;-2.6193643467388972E-6;-7.844615403673384E-7;1.7142419527657527E-10;-1.1740935490564318E-6;1.603565982572686E-6;1.9970522136851487E-9;-4.670008165059477E-6;-1.81551127268079E-8;-1.5412178931584351E-6;-1.0939561484497552E-8;-3.008286104599066E-6;2.2678097205498433E-8;-6.742676894966454E-6;9.749884153274134E-7;-6.725582240400609E-6
7;1;6.808608524608216E-8;1.9447273942666047E-6;2.568605901084432E-6;1.811630315107714E-6;1.079683571986197E-5;3.259197294786234E-6;-5.231582054252488E-6;-6.900623076254058E-6;1.7840641464328838E-6;4.2933431469540645E-6;3.8175800467631146E-7;2.238785186650223E-6;7.5456155471083245E-6;-2.5035797250328726E-6;7.638149922427732E-6;3.2118404719935153E-6;-2.1435732082788275E-6;4.654314060958787E-6;-2.6402191910337746E-6;-3.077590391223279E-6;2.456516270411027E-6;2.541647221967003E-6;-3.786419994799377E-6;-2.137056000502457E-6;-2.252282193698921E-6;-2.1661913818965976E-6;-3.229437464291659E-6;-3.1860963405421347E-6;1.391303072898216E-6;-1.971710210489642E-6;1.2325059225326743E-7;-6.073012769355395E-8;1.630861482512732E-6;9.882918220737733E-7;-1.473772382241589E-6;8.052863654043606E-6;1.6911611153423683E-6;7.779272361137583E-7;1.9951548331855874E-6;7.082249251423546E-6
9;1;-3.209162667928686E-6;4.427541496640239E-6;3.42291606658915E-6;2.6267027303399975E-6;1.1781899000689194E-5;4.042892553561858E-6;-9.774289389746014E-6;-1.4234318071111833E-10;7.59898079530755E-6;2.100254794359511E-7;7.165736023292408E-6;3.980532044945722E-6;-3.8546738417482105E-6;5.3740368796209516E-6;5.929250583211863E-10;-3.42220738864383E-6;-7.882932265931664E-7;-3.353638712582799E-6;-8.165087560758746E-10;-2.124840336952237E-8;-1.8262251680363844E-7;-5.401002715725688E-7;2.246521675317609E-6;-7.021890175772151E-10;3.533433123238484E-7;-3.3701415536473614E-6;1.817325008031399E-6;1.4400927296865326E-10;4.953887756992634E-8;3.0570890582405654E-7;2.8245352520657253E-6;1.5421657588096806E-6;-1.5369469000038933E-6;-1.5684145496177528E-6;-1.0546279533749974E-8;-1.992467972223107E-8;-9.284309057427823E-7;-5.078112814757986E-6;5.236559938994762E-6;-3.926267757591535E-6
1;3;1.0469064184926648E-5;-3.630147923887042E-6;-4.8637013297914595E-9;-2.931221989565747E-7;4.190507159508833E-6;-1.565310892767597E-7;5.2314407795376756E-6;6.9006283737508625E-6;1.784120325236731E-6;-3.819848913613426E-7;4.29373288880273E-6;-7.5465969174606746E-6;2.240386822210706E-6;-2.5035571849356675E-6;7.638490883827627E-6;-3.2113004678639585E-6;4.653150522956482E-6;2.144408564016992E-6;2.6409723603668477E-6;-3.080760877579239E-6;2.540231880866768E-6;-2.456666964577396E-6;3.7878608771076524E-6;2.1393075266483868E-6;-2.251367130968563E-6;3.226550890641981E-6;-2.1738837564365303E-6;-3.1821371453855346E-6;1.972535486366682E-6;1.3897570240488822E-6;-1.2411729702576096E-7;-1.6308674525783677E-6;-6.665391688656339E-8;9.894195576176345E-7;-1.4675354723679876E-6;-8.066165757581579E-6;-1.6881863491275394E-6;7.623806250854948E-7;7.071337777583954E-6;-1.9887114732737366E-6
3;3;7.191815431562432E-6;-1.1473338214142942E-6;8.494464640990421E-7;5.21950216332003E-7;5.1755704402969295E-6;6.271641696275221E-7;2.7454303144345792E-6;3.760485926034305E-11;-3.5981828728246995E-6;1.4045572481853477E-6;-4.0950244918349096E-8;-7.5832069915647975E-6;-7.831065035823178E-6;1.4600806191065465E-6;-2.536409566268767E-10;-4.709603720909322E-6;-4.148503865995988E-6;9.75479015774618E-7;-1.383255908778853E-9;-5.4076313274574905E-6;2.466193885310528E-6;-8.365144545801743E-7;-8.337610106976065E-6;-2.0119927300749804E-9;1.735499710482863E-6;4.0127810219291075E-7;7.444527664218852E-7;-2.84089815138265E-10;-5.858674235455243E-6;9.145067406628436E-7;1.781962460442566E-6;4.91895833662615E-7;4.934209130573789E-7;-3.6750265422204864E-6;1.1269108269319226E-8;1.1342755245301832E-8;1.84597435796787E-6;8.547168978313456E-6;3.3361103998126233E-6;4.485250242055158E-6
5;3;3.914566678224173E-6;1.3354802810558859E-6;1.7037566295557699E-6;1.3370226316081164E-6;6.160633721103719E-6;1.4108594284546529E-6;1.33266847409689E-10;-2.697165078168894E-6;-5.9510309554317785E-6;1.9725750400372077E-6;-2.0918888861309504E-6;-8.319329965378616E-6;-1.3406121152355728E-7;3.200644718555003E-6;-1.0300915578896935E-9;5.046544539488445E-10;-5.396539371851093E-6;-3.3444863231286753E-6;7.233130659333709E-6;2.0466958132242395E-6;-3.4292297353432623E-6;-1.690547897529011E-6;2.412130716000607E-9;-5.779314304964607E-6;1.1803035921560123E-6;4.2898702527407035E-6;1.294981389717128E-6;6.7722059597229635E-9;3.0402578568680342E-6;-4.15373546418721E-6;3.417491698998016E-9;2.9433254795411677E-6;1.0242968417621691E-8;6.190564823539509E-6;4.693000095348528E-9;-7.434945112194499E-6;3.5743412033448196E-8;-7.948098584456867E-7;6.0500415604002E-7;-4.307006610573269E-6
7;3;6.373179249329128E-7;3.818294383531998E-6;2.5580667950654084E-6;2.1520950469132575E-6;7.145697001944556E-6;2.194554687200216E-6;-2.745271297061328E-6;-4.901083847225742E-11;-3.5982913679574132E-6;-4.105365375107546E-8;-1.404899113534836E-6;-7.83027610147953E-6;7.582531126888851E-6;1.4634333643248134E-6;-8.853416253584263E-10;4.70978577201142E-6;-9.737439121558252E-7;-4.149989199276577E-6;-1.7745837865738684E-9;-5.403531405921165E-6;8.364296596074375E-7;2.4667585422733574E-6;8.33821651157579E-6;2.9627745762552978E-9;1.7344196124161747E-6;7.438718245093344E-7;-4.057830616139972E-7;-2.8963915740590017E-9;9.102830712136002E-7;5.849148494972725E-6;-1.7926020486408516E-6;4.961347836112229E-7;-4.936148790041854E-7;-3.6713090944620663E-6;1.5740562713637177E-8;-1.6734876732318723E-8;-1.8676596929266543E-6;8.52064062805195E-6;-4.507744066040372E-6;3.361925646023368E-6
9;3;-2.639930828314702E-6;6.301108486016456E-6;3.412376960620184E-6;2.9671674622436546E-6;8.130760282814896E-6;2.978249945937041E-6;-5.231917288867818E-6;6.900456280209156E-6;1.7842232377391478E-6;-4.263515639659271E-6;6.331922614385334E-7;-7.469375032349804E-6;-2.479930726561653E-6;-2.5030142944218347E-6;-7.638787777437403E-6;3.2118714040041756E-6;3.992791894555664E-6;3.211974667083405E-6;2.6395414932943414E-6;-3.080096316496049E-6;-4.0207643437348207E-7;3.5152024805534847E-6;-3.7906375065237714E-6;2.1395455607399194E-6;-2.254665379458665E-6;1.4833441756835053E-6;3.593476566871651E-6;3.181002644806603E-6;-1.9277869057056943E-6;-1.4548178713106563E-6;1.3047113360054968E-7;-1.6209662991592442E-6;5.360558005518568E-8;9.90843848869636E-7;1.4812973863049176E-6;-8.01268763061406E-6;1.7595546275447558E-6;7.134536843319951E-7;-6.243030895154278E-6;-3.893693845765695E-6
