% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
5;5;-1.2830521807519147E-8;-8.336864040015458E-7;6.047221580067808E-8;3.724824858661668E-7;2.124014897551585E-7;8.216488661282705E-7;8.272626222526393E-7;8.623517788871985E-13;8.162055584256133E-7;-6.870792787770902E-7;8.132406199136846E-7;7.964420300645584E-7;-2.3493291025207523E-7;8.024276912003151E-7;9.276870579686249E-11;7.928906775477254E-7;-7.885623705049596E-7;2.9901400454432793E-7;6.768357377404482E-11;7.739757520261475E-7;7.74644317511282E-7;-2.5958660994910877E-7;7.773470571367732E-7;-1.6278722476932692E-10;-7.689437819726888E-7;-6.326281032991231E-7;-6.26550145643743E-7;-2.9083418212792055E-10;-7.512757089150162E-7;7.618638189874605E-7;8.668499980227076E-8;-7.514872051845312E-7;-8.303795413846994E-8;6.727750179476383E-7;-8.16726399135764E-11;-1.1187508973260009E-10;7.443615358188557E-7;7.333215866219891E-7;-7.322299796885016E-7;-3.917134105312379E-7
15;5;-1.23798928233227E-8;-8.168889882213372E-7;4.5882738805354404E-8;3.617322701223833E-7;2.2269907207170758E-7;8.220995392981634E-7;8.05490673965246E-7;4.1629663290816564E-8;7.8339845816906E-7;-6.293274631385972E-7;8.005837485289142E-7;7.595446348741813E-7;-1.6612226186837283E-7;7.556474918494421E-7;-7.706021685619066E-8;7.366094645237967E-7;-7.125300570916491E-7;3.15693244660635E-7;9.92332516057092E-8;6.988862100456714E-7;6.773446381848986E-7;-3.0218989474511166E-7;7.048057372815138E-7;6.342308242944481E-8;-6.883088589300537E-7;-6.569758206802733E-7;-4.383347807587128E-7;1.3080174017685883E-7;-6.544598205427831E-7;6.767805848894007E-7;4.8403051073199886E-8;-6.441845887921598E-7;-1.5305310415967087E-7;5.862398937780968E-7;7.450092462764314E-8;-1.5598727785034387E-7;6.384676773650631E-7;6.176693607083652E-7;-6.806549492855272E-7;-2.0665213859314627E-7
0.024999999999999998;5;-1.1929263843004513E-8;-8.000915725644512E-7;3.12932617865705E-8;3.509820544573605E-7;2.3299665446258592E-7;8.225502125283966E-7;7.835484792967061E-7;8.319876449902243E-8;7.505187298031987E-7;-5.712375406321991E-7;7.874067723158073E-7;7.223248732752824E-7;-9.752540113436304E-8;7.075479298128462E-7;-1.5379257777470243E-7;6.795250266903535E-7;-6.342359288001218E-7;3.31139930384208E-7;1.972400327406787E-7;6.235837510744965E-7;5.791478366081852E-7;-3.4353244433113104E-7;6.281196589574938E-7;1.261021358552696E-7;-6.046957407878571E-7;-6.795592178627554E-7;-2.5307955738606906E-7;2.5896505128323605E-7;-5.565961655127425E-7;5.862354224645564E-7;1.0010044078048459E-8;-5.332931814686512E-7;-2.2057520553416926E-7;4.907946315263827E-7;1.4689311931749998E-7;-3.062251987936387E-7;5.257439209303041E-7;5.015437022184371E-7;-6.261769147788689E-7;-2.593746831941695E-8
0.034999999999999996;5;-1.1478634868440078E-8;-7.83294157080536E-7;1.6703784723297345E-8;3.4023183890740005E-7;2.432942369719235E-7;8.230008857986094E-7;7.613388824445267E-7;1.2465029697235495E-7;7.175506691984666E-7;-5.126750175705864E-7;7.734234289233764E-7;6.847253985609537E-7;-2.9436665327293038E-8;6.574989895567931E-7;-2.2965654518131367E-7;6.21410859742353E-7;-5.528384064416739E-7;3.4460880207272636E-7;2.928977068545678E-7;5.485782982502622E-7;4.803649451144723E-7;-3.827054489256608E-7;5.457229989064685E-7;1.8683308267944403E-7;-5.174430198546461E-7;-6.996062135673897E-7;-7.487176936990905E-8;3.8112433388578953E-7;-4.588162334904616E-7;4.886934906227603E-7;-2.8020628026586105E-8;-4.1900370651009275E-7;-2.833132669701134E-7;3.8372321398300673E-7;2.1450661165195384E-7;-4.4509442961643564E-7;4.0535080473050066E-7;3.878577683711149E-7;-5.693430714974575E-7;1.4407090910224866E-7
45;5;-1.1028005900828242E-8;-7.664967417867802E-7;2.1143075920520777E-9;3.2948162349199164E-7;2.535918196348642E-7;8.234515590353913E-7;7.387869531141853E-7;1.659136820319573E-7;6.845074095288408E-7;-4.5359646385842524E-7;7.584193658479514E-7;6.468146896775403E-7;3.7742012575385986E-8;6.051287216734351E-7;-3.0408567504153807E-7;5.623038058462606E-7;-4.6810338626587535E-7;3.5545925838080144E-7;3.847628350976655E-7;4.7480740088373006E-7;3.8196484211688314E-7;-4.187908577602053E-7;4.5711138720479234E-7;2.4428774232164704E-7;-4.2692647809341043E-7;-7.165735710626418E-7;9.111221157496116E-8;4.936228073128506E-7;-3.633683213878253E-7;3.843002576109981E-7;-6.481635957238891E-8;-3.0328037569086086E-7;-3.386841086602904E-7;2.6494367436859335E-7;2.741263029780088E-7;-5.661398470621223E-7;2.790899049060887E-7;2.8117252636709156E-7;-5.120744916622086E-7;2.954867652001674E-7
0.05499999999999999;5;-1.0577376941382889E-8;-7.496993266782705E-7;-1.2475169631407036E-8;3.187314082205708E-7;2.6388940247902563E-7;8.239022321176571E-7;7.158280438385901E-7;2.069076546522816E-7;6.514239333049327E-7;-3.940181787910783E-7;7.42216761518373E-7;6.087542974903659E-7;1.0352537846676978E-7;5.502175489544506E-7;-3.7640967972714064E-7;5.024175697797266E-7;-3.8018449224212563E-7;3.6308518429851136E-7;4.7122073611804725E-7;4.0350758218352976E-7;2.853531425806283E-7;-4.5085469252724007E-7;3.624427059870001E-7;2.969068306996587E-7;-3.3417282241797984E-7;-7.301086847870535E-7;2.391392048067321E-7;5.925249733993887E-7;-2.7314088335139844E-7;2.742369292846669E-7;-9.920914210885694E-8;-1.891218627668292E-7;-3.8395533838403816E-7;1.3604589149569371E-7;3.2215288294688536E-7;-6.629837331094199E-7;1.503052869965336E-7;1.867411522779804E-7;-4.570091608432297E-7;4.2009973693386336E-7
65;5;-1.0126747991529726E-8;-7.329019117267394E-7;-2.7064646971291854E-8;3.079811930912095E-7;2.741869855226082E-7;8.243529048805136E-7;6.924131760098322E-7;2.4754217499941127E-7;6.183556941692166E-7;-3.3402077343958275E-7;7.246868907233658E-7;5.707827167339136E-7;1.6737075592502378E-7;4.927203137937129E-7;-4.458905792354947E-7;4.4212557911793103E-7;-2.8961693756209877E-7;3.669596497807567E-7;5.506066830689765E-7;3.360801663863878E-7;1.9222863439649617E-7;-4.780132823249358E-7;2.625256244704758E-7;3.4304523988179553E-7;-2.4073623811230655E-7;-7.400073637794292E-7;3.636274993874698E-7;6.740560853620782E-7;-1.9125059881061862E-7;1.605768719912159E-7;-1.2986678726923477E-7;-8.013570788545597E-8;-4.1658100962156373E-7;1.385996668425514E-10;3.5510604883646475E-7;-7.302754222278375E-7;2.3397032016585538E-8;1.0960083066453257E-7;-4.069713631136624E-7;5.10700885350096E-7
75;5;-9.676119051717661E-9;-7.161044968843425E-7;-4.16541244505972E-8;2.9723097809266903E-7;2.8448456877550516E-7;8.248035771137506E-7;6.68503125386422E-7;2.8771712745246525E-7;5.85376254842336E-7;-2.737362223638683E-7;7.057326317795739E-7;5.332001735435585E-7;2.2868526795450872E-7;4.3271749860428596E-7;-5.11727450559353E-7;3.8192077062775667E-7;-1.9721304419500068E-7;3.666079047026269E-7;6.212552526725862E-7;2.7401774868391145E-7;1.0446230622439084E-7;-4.994407457439212E-7;1.5863074208194594E-7;3.8103314800788974E-7;-1.484984980326248E-7;-7.462026624019021E-7;4.595217917244768E-7;7.348391257652298E-7;-1.2075007765786866E-7;4.596026844624998E-8;-1.5538214562813846E-7;1.9890522404384265E-8;-4.3436059714127443E-7;-1.386410769375142E-7;3.6989657116570304E-7;-7.642513485827551E-7;-9.679512907998946E-8;5.3977363917406596E-8;-3.645910067515704E-7;5.61896343472156E-7
0.08499999999999999;5;-9.225490120365366E-9;-6.993070820895389E-7;-5.624360208789421E-8;2.864807632066673E-7;2.947821522385864E-7;8.25254248571654E-7;6.44066475046931E-7;3.273271869715318E-7;5.52572309095207E-7;-2.133334729214967E-7;6.852820398020621E-7;4.963444735974422E-7;2.868638456977017E-7;3.7038188246458117E-7;-5.731003151681405E-7;3.2236504893220675E-7;-1.0396162665833778E-7;3.616138544898058E-7;6.816325400056022E-7;2.1877365488544606E-7;2.3918090369476514E-8;-5.144226351115295E-7;5.232457332147454E-8;4.0929601250696476E-7;-5.9449898222626914E-8;-7.487663347885959E-7;5.228463812967853E-7;7.722481441251439E-7;-6.426678716770438E-8;-6.67196399169396E-8;-1.7438966403821375E-7;1.0745508219467092E-7;-4.356567483505936E-7;-2.755766239075752E-7;3.641423053155837E-7;-7.633074790955317E-7;-2.0559441711764767E-7;2.268913898822708E-8;-3.3191891245608287E-7;5.709135249576945E-7
0.09499999999999999;5;-8.774861193747378E-9;-6.825096672669988E-7;-7.083307989692154E-8;2.7573054840780774E-7;3.050797359032374E-7;8.257049189713823E-7;6.190798472835671E-7;3.6626043406238433E-7;5.200436747646977E-7;-1.5301957174128012E-7;6.632880529927069E-7;4.605844317847933E-7;3.41293591873044E-7;3.059790059507024E-7;-6.291760220907506E-7;2.6407945414399475E-7;-1.1015401088213024E-8;3.5162979587968827E-7;7.303758009028325E-7;1.7170844537003147E-7;-4.760945968772997E-8;-5.223750467809664E-7;-5.4551645273541826E-8;4.2641283333761084E-7;2.4377222478233858E-8;-7.478798506515007E-7;5.50960887827513E-7;7.845624691410163E-7;-2.3836729863945743E-8;-1.743977638495576E-7;-1.856293923016983E-7;1.7953336039583555E-7;-4.195162701136339E-7;-4.0549682694714366E-7;3.363775371072918E-7;-7.28202644594388E-7;-2.987205175127121E-7;1.688443148210532E-8;-3.1023227450423054E-7;5.379279896837048E-7
