% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
0.004999999999999999;5;-3.1427362860649745E-9;-2.339483313591325E-7;-2.207068881003068E-7;8.074127033152027E-8;-6.04129894099459E-7;6.908851117785516E-7;6.100178697394246E-7;-6.704517294703935E-7;-6.603228908591719E-7;-3.738969758400052E-7;6.317537806339508E-7;6.475666946994262E-7;-6.473333800299673E-7;-2.216494014054149E-7;6.371109938180901E-7;-6.044368109853474E-7;6.333493096597248E-7;-6.213331207075288E-7;5.302625328773974E-7;6.182647092189619E-7;-6.145896143172053E-7;-6.153699250984474E-7;6.217840508556451E-7;-6.103534275635903E-7;5.097095277025944E-7;5.257175055080443E-7;-5.839734059960269E-7;5.744955451464577E-7;-6.019232076032636E-7;5.75159498109133E-7;-3.425741382443779E-7;-5.804744838314698E-7;-5.909882282071068E-7;-2.2725739289139402E-7;5.892013589352574E-7;-5.848126828443211E-7;-5.76914121370244E-7;-4.46723228985458E-7;5.611876038475366E-7;4.673482623546429E-7
15;5;-4.0686157720489855E-9;-2.0712457366788647E-7;-2.0305490566476272E-7;6.412294842281187E-8;-5.926875357903589E-7;6.856965594442828E-7;6.156956505850483E-7;-6.347780833301487E-7;-6.329872131483443E-7;-3.9939466863929766E-7;5.419175753575655E-7;5.691165407439351E-7;-6.314431729183721E-7;-1.6041005426791703E-7;5.944395414239047E-7;-6.173113370189073E-7;5.576243827917323E-7;-4.876802265071524E-7;3.7603826741667487E-7;6.163704079840296E-7;-5.911823917550866E-7;-4.7107240059503373E-7;5.646530194946977E-7;-4.853607854683804E-7;5.393507479088401E-7;5.034034698967935E-7;-5.882535277131044E-7;3.621241374725054E-7;-4.968144764444409E-7;3.6276443299948817E-7;-1.6967222260722442E-7;-5.812252463684138E-7;-5.04448849722551E-7;-2.7623358306272624E-7;5.239332548741182E-7;-3.934996817349895E-7;-5.341536846113176E-7;-2.737981480097839E-7;5.16574769428857E-7;4.0690574611961917E-7
0.024999999999999998;5;-4.994495256732535E-9;-1.8030081599312507E-7;-1.8540292324481094E-7;4.750462652777498E-8;-5.812451774922292E-7;6.805080071060426E-7;6.212839647133795E-7;-5.988487697501118E-7;-6.048400067144961E-7;-4.246582774015396E-7;4.5218897790263264E-7;4.902720722389709E-7;-6.139540834524157E-7;-9.828842235126601E-8;5.503972331142852E-7;-6.272670347966372E-7;4.782639450389438E-7;-3.547529181877556E-7;2.2301708163614937E-7;6.121209281235077E-7;-5.64784477428213E-7;-3.2553615207598606E-7;5.016983740873535E-7;-3.562585707207273E-7;5.650627594093859E-7;4.7291909859076735E-7;-5.877934338521422E-7;1.5589564828770758E-7;-3.8432181625008183E-7;1.548332010534177E-7;-2.0379201030605418E-9;-5.777799422378463E-7;-4.114284660441257E-7;-3.2344993523176264E-7;4.4795335415419803E-7;-2.0121338220121408E-7;-4.796125442963957E-7;-9.660771555258124E-8;4.651683459790156E-7;3.30478796141692E-7
0.034999999999999996;5;-5.920374739401123E-9;-1.534770583431803E-7;-1.6775094084855985E-7;3.088630465379442E-8;-5.698028192064036E-7;6.753194547458658E-7;6.267283438837814E-7;-5.625299981400755E-7;-5.754695995363314E-7;-4.495185227430672E-7;3.6290052176946536E-7;4.111269319263705E-7;-5.940799464472782E-7;-3.511857618661404E-8;5.0459354333469E-7;-6.327594262548904E-7;3.9411286050220824E-7;-2.2455294963528513E-7;7.37646411252273E-8;6.046520043280648E-7;-5.345584774017014E-7;-1.8047260764001104E-7;4.30918661131262E-7;-2.2375307055116767E-7;5.849875743516448E-7;4.3096507888634966E-7;-5.809477507937565E-7;-3.511622995315767E-8;-2.640877779653481E-7;-4.02402843159297E-8;1.521497764816155E-7;-5.695987670456754E-7;-3.122934560533582E-7;-3.6733959883430456E-7;3.5938133649698547E-7;-1.5305426062349044E-8;-4.109841965761842E-7;7.867526841588536E-8;4.0803605122327044E-7;2.340938201206539E-7
0.04499999999999999;5;-6.8462542195938644E-9;-1.2665330072382554E-7;-1.5009895848199955E-7;1.426798280650963E-8;-5.583604609292154E-7;6.70130902334799E-7;6.319811290254006E-7;-5.257282138814237E-7;-5.445960786936723E-7;-4.737970298595028E-7;2.745737753655902E-7;3.320541320254428E-7;-5.712947549557458E-7;2.8903377239757207E-8;4.5705620592635874E-7;-6.326105127992512E-7;3.0506263383998005E-7;-9.997752506882219E-8;-6.810260026704166E-8;5.936030359322373E-7;-5.00440799506251E-7;-3.925015786810696E-8;3.5180748855095943E-7;-9.089037929238602E-8;5.978228794515085E-7;3.759745881297236E-7;-5.670144718818632E-7;-1.999617839072246E-7;-1.388689357430637E-7;-2.1179750871858322E-7;2.828285697350239E-7;-5.57277102359822E-7;-2.1012373620226845E-7;-4.0597104543306244E-7;2.5989521068071197E-7;1.5288535717014164E-7;-3.2931718589986466E-7;2.410653565780942E-7;3.4917781113043795E-7;1.1872420003812726E-7
0.05499999999999999;5;-7.772133697093262E-9;-9.982954313948348E-8;-1.3244697615009465E-7;-2.3503390091728056E-9;-5.469181026529554E-7;6.649423498338574E-7;6.369999775803893E-7;-4.883786237612733E-7;-5.120319353555922E-7;-4.973082660024311E-7;1.8787776977538166E-7;2.5364051817009376E-7;-5.452509906068344E-7;9.331351896505805E-8;4.0812374397116965E-7;-6.258960940989992E-7;2.117542062875857E-7;1.5571792149056476E-8;-1.9836700719560822E-7;5.7898784398123E-7;-4.628512323984729E-7;9.374679287898112E-8;2.649012027758444E-7;3.7809726256155744E-8;6.027702520522142E-7;3.076463382390221E-7;-5.459047493656118E-7;-3.2779612590025963E-7;-1.3399904506297419E-8;-3.4900224660776044E-7;3.798854981916255E-7;-5.420597040706013E-7;-1.0930981435665847E-7;-4.3729239835210777E-7;1.535130390157819E-7;2.907783087063527E-7;-2.3758571352826675E-7;3.7777788602337E-7;2.940588768167507E-7;-1.1042753249882539E-8
65;5;-8.69801317180663E-9;-7.300578559365307E-8;-1.1479499385702568E-7;-1.896866078894386E-8;-5.354757443667331E-7;6.597537971964713E-7;6.417472672809462E-7;-4.504418309415787E-7;-4.776689308120791E-7;-5.19862775709157E-7;1.0358453117595436E-7;1.7662824694156834E-7;-5.15750801406391E-7;1.574484455226043E-7;3.583653201876589E-7;-6.119322378332845E-7;1.1538611967251804E-7;1.1859392218267736E-7;-3.127027726442438E-7;5.611090202244181E-7;-4.2251019897956673E-7;2.137528895351576E-7;1.7152039014452412E-7;1.5714231712827136E-7;5.995509957492781E-7;2.2677000364488893E-7;-5.179806441217695E-7;-4.097980947732635E-7;1.0655816263816051E-7;-4.428209349972477E-7;4.3503099005194693E-7;-5.254722679759942E-7;-1.4505304820940682E-8;-4.594227668043559E-7;4.567725118283881E-8;3.8716451637419544E-7;-1.3981402197864832E-7;4.770417500259723E-7;2.483040857131297E-7;-1.4794798977668944E-7
75;5;-9.623892643947922E-9;-4.618202808910009E-8;-9.714301160643615E-8;-3.558698252829669E-8;-5.240333860567412E-7;6.545652443693902E-7;6.461891476822261E-7;-4.119021635887645E-7;-4.414715736605895E-7;-5.412667407028441E-7;2.2550566400640356E-8;1.0188682919886415E-7;-4.827323089735704E-7;2.204802311414121E-7;3.0853755043329514E-7;-5.902775473174888E-7;1.761159629599529E-8;2.0574839914235862E-7;-4.069985405478831E-7;5.405112285802842E-7;-3.80334657664231E-7;3.1603717321645485E-7;7.3634464974512E-8;2.6173231611632487E-7;5.884276549986875E-7;1.3515728969478292E-7;-4.839684594983868E-7;-4.404277891391912E-7;2.1483805339344025E-7;-4.873157229072732E-7;4.4304835798100514E-7;-5.090839879732124E-7;7.002183268742735E-8;-4.708416601019036E-7;-5.73534207079597E-8;4.339364990491706E-7;-4.053173838638134E-8;5.299643674372362E-7;2.1679678711079967E-7;-2.8276646785547705E-7
0.08499999999999999;5;-1.0549772114299606E-8;-1.935827062859284E-8;-7.949102940280314E-8;-5.2205304222410504E-8;-5.125910277072313E-7;6.493766912949208E-7;6.502955423300323E-7;-3.727606124536501E-7;-4.0345362655488075E-7;-5.613289997909107E-7;-5.43284545999905E-8;3.0354384911518914E-8;-4.462245275455815E-7;2.8149037179717027E-7;2.5950986030473106E-7;-5.606897941978026E-7;-7.965391184103201E-8;2.741709170395773E-7;-4.777276846924972E-7;5.179113601431269E-7;-3.37265181950777E-7;3.963781263538177E-7;-2.6400504934427597E-8;3.466160876777816E-7;5.701739922467167E-7;3.5384569261573926E-8;-4.4476733908741006E-7;-4.183344160969911E-7;3.0556877998079075E-7;-4.806085379892039E-7;4.026310002215518E-7;-4.942528162235272E-7;1.4106759808106595E-7;-4.704618172773226E-7;-1.4926144070749193E-7;4.27355764165798E-7;5.5976975464531444E-8;5.318817427291914E-7;2.0289465405354594E-7;-4.05340103195105E-7
0.09499999999999999;5;-1.1475651583722633E-8;7.465486784765766E-9;-6.183904725095849E-8;-6.882362586621312E-8;-5.011486693011369E-7;6.441881379125806E-7;6.540394525705658E-7;-3.330315413567928E-7;-3.6366753919946715E-7;-5.798640107243833E-7;-1.2614624278922962E-7;-3.7002549699416766E-8;-4.063287657361264E-7;3.3952160960142576E-7;2.1220989915742115E-7;-5.231220921301895E-7;-1.7436871843723343E-7;3.2170043097150095E-7;-5.222337740014824E-7;4.941449638567499E-7;-2.9417150888143414E-7;4.5144516293358527E-7;-1.2602258113857727E-7;4.0772980964452035E-7;5.46035303581116E-7;-6.939109827864303E-8;-4.013576684661335E-7;-3.467478855245152E-7;3.737884418007928E-7;-4.2532824236695896E-7;3.168131298336992E-7;-4.819845112692317E-7;1.9688036727603455E-7;-4.577539166149077E-7;-2.2436010327990355E-7;3.6882669937276733E-7;1.4614404054347474E-7;4.832943085363733E-7;2.07890361586913E-7;-5.057575282299687E-7
