% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
0.005000000000000001;0.004999999999999999;-1.3735082383524851E-9;-4.737806880622425E-8;1.9883947748756347E-8;3.751486727575674E-7;-2.3934994780670857E-7;3.9469686385630643E-7;3.4602501109122713E-7;-3.7825060382430907E-7;-3.680710363293657E-7;2.196579247579931E-7;3.449254937892063E-7;3.5518943799406396E-7;3.550425706880101E-7;-4.959382780692328E-8;3.4568205905830214E-7;-3.327976631843818E-7;3.4100444704894345E-7;3.2825160001716737E-7;-3.2710725087457676E-7;2.599170284693372E-7;-3.2207944130603636E-7;3.2362645112317186E-7;3.11050269362548E-7;2.7543897826457E-7;-3.1669355987011047E-7;-2.851282185485178E-7;-3.0619923833148144E-7;2.727873098782677E-7;3.096175939184603E-7;-2.736164262220152E-7;-4.672885941319685E-8;2.908847342025544E-7;-2.976056815408078E-7;-1.885519367274639E-7;2.983738611163639E-7;-2.9192289139468886E-7;-2.0742038802674558E-11;2.8512500319032777E-7;-8.051530585557582E-8;2.8060256055690096E-7
15;0.004999999999999999;-1.0063670678880743E-8;-3.543741430621726E-8;4.160688877137748E-9;3.731948073678017E-7;-2.071108497682489E-7;3.793188869478477E-7;3.5136497663151424E-7;-3.4180876815921926E-7;-3.396461619846122E-7;2.4323631102167686E-7;2.538973503280631E-7;2.742934616906686E-7;3.375044606292983E-7;3.806889375502653E-9;2.94086526157644E-7;-3.39884637619186E-7;2.6131949448253146E-7;1.892739355821408E-7;-3.207929487350984E-7;1.0765792090733509E-7;-2.910632170774415E-7;1.7821699457673607E-7;2.558999305945599E-7;2.971617982687628E-7;-1.880256307114406E-7;-2.537121790689297E-7;-3.03290207095824E-7;6.490580893170157E-8;1.9852920867143924E-7;-6.213680304726727E-8;6.935936446873978E-8;2.6813984438041714E-7;-1.8308135622236634E-7;-2.205390120077909E-7;2.1638819852127207E-7;-9.393018541261741E-8;-1.3301016103656581E-11;2.337078814251451E-7;4.932613820224287E-8;1.7953509983996254E-7
25;0.004999999999999999;-1.8753833119333525E-8;-2.349675980688868E-8;-1.1562569994601099E-8;3.7124094197814084E-7;-1.7487175173036268E-7;3.639409100404351E-7;3.5646213007968177E-7;-3.0476273488429223E-7;-3.093128806210925E-7;2.660496168358172E-7;1.639049344652773E-7;1.9326512857817235E-7;3.1622440926667246E-7;5.796102930815409E-8;2.3988096020224223E-7;-3.3988331775314476E-7;1.7472551290075212E-7;5.673300810124589E-8;-3.093190857879509E-7;-3.6325170520833105E-8;-2.548358500640303E-7;3.551792640345156E-8;1.8945496454839936E-7;3.0926154488654327E-7;-5.646291153873598E-8;-2.0480303831292792E-7;-2.901850604692263E-7;-1.1229847636970878E-7;7.799904598456375E-8;1.2198885159320426E-7;1.6070337388712896E-7;2.4091518369265E-7;-6.815995032520399E-8;-2.417483152043911E-7;1.1694419436029828E-7;8.634735230831915E-8;-4.5525891789429365E-12;1.6319956634913085E-7;1.6787291574009498E-7;7.70227457228219E-8
0.034999999999999996;0.004999999999999999;-2.7443995559631187E-8;-1.1556105308670671E-8;-2.7285828866666564E-8;3.692870765885305E-7;-1.4263265369327102E-7;3.485629331343852E-7;3.611816981852037E-7;-2.6686086748714365E-7;-2.763229268770812E-7;2.875760336339401E-7;7.675359704619446E-8;1.135346939254214E-7;2.8981662368271455E-7;1.1208421809748367E-7;1.8362159651562373E-7;-3.2978308675285877E-7;8.165175973752295E-8;-5.958575658712538E-8;-2.9215636532348573E-7;-1.6052320144722694E-7;-2.1425611142805097E-7;-9.353156233201659E-8;1.1090729411006352E-7;3.091693188494744E-7;6.754431971095006E-8;-1.3547719492578317E-7;-2.6599648156532887E-7;-2.267395611800052E-7;-4.198402964563553E-8;2.4712470307163555E-7;2.0563911279390163E-7;2.1482432100996113E-7;3.217910969913424E-8;-2.48549964315858E-7;8.207553984051617E-9;2.1424702054499528E-7;3.2463547871535015E-12;7.907837760283837E-8;2.5255169881167757E-7;-5.46183994044332E-9
0.045000000000000005;0.004999999999999999;-3.613415799967361E-8;3.8454918804819935E-10;-4.300908773936658E-8;3.673332111988168E-7;-1.1039355565706157E-7;3.3318495622971555E-7;3.6541449467665416E-7;-2.2799180766046124E-7;-2.4037138511153637E-7;3.0728792175217576E-7;-5.1375146961167644E-9;3.744270908928781E-8;2.5773819596365715E-7;1.645147106465535E-7;1.2728277185294088E-7;-3.07910767171393E-7;-1.4274271579783302E-8;-1.489193437504891E-7;-2.70402284989848E-7;-2.524144418223072E-7;-1.7198278010052215E-7;-1.9522797868995223E-7;2.367402349151639E-8;2.969279135691682E-7;1.690860020634699E-7;-4.8722389163450174E-8;-2.324768935763752E-7;-2.5508012734037316E-7;-1.4505322986279025E-7;2.8916066875482475E-7;1.8963644606691173E-7;1.9642611147171688E-7;1.022874581423593E-7;-2.395326538412035E-7;-9.308439627911554E-8;2.5954655468703865E-7;5.521157588014043E-12;-7.181938583348859E-9;2.8324773997175326E-7;-4.56560656765004E-8
0.05500000000000001;0.004999999999999999;-4.48243204393357E-8;1.2325203682906222E-8;-5.8732346613115426E-8;3.6537934580878937E-7;-7.815445762176077E-8;3.178069793262703E-7;3.690720016610053E-7;-1.8814449471194796E-7;-2.01456712173819E-7;3.246705189457463E-7;-7.903531299513923E-8;-3.216696023252321E-8;2.20007775069678E-7;2.1310172279704823E-7;7.366256386659378E-8;-2.7365698950545215E-7;-1.0760522469342557E-7;-2.0237375557496093E-7;-2.4620784993441076E-7;-3.0167906173320333E-7;-1.3105405958897386E-7;-2.5727328531751674E-7;-6.628516873384641E-8;2.750049143204217E-7;2.3392620096321806E-7;4.8253214028809706E-8;-1.9257558540885904E-7;-1.937145713886465E-7;-2.1464784203013906E-7;2.4299482793508294E-7;1.1222806202482389E-7;1.899626138648209E-7;1.337302977143737E-7;-2.1546451749312236E-7;-1.6829880175123747E-7;2.116951960210932E-7;5.7653289745836945E-12;-8.426237249758367E-8;2.527473905059028E-7;-3.197513199334363E-8
65;0.004999999999999999;-5.3514482878452404E-8;2.4265858175551732E-8;-7.445560548846262E-8;3.6342548041811964E-7;-4.5915359587335613E-8;3.024290024237213E-7;3.7208193973240877E-7;-1.473932164686686E-7;-1.5982668652017799E-7;3.392366974210835E-7;-1.421728098346466E-7;-9.231020894194119E-8;1.7710091860810326E-7;2.555090665094097E-7;2.588498386170027E-8;-2.2747637508375758E-7;-1.921024325723755E-7;-2.152471851001109E-7;-2.2224276486256984E-7;-3.029172466162051E-7;-9.392498506045008E-8;-2.722516718425267E-7;-1.5163223721169122E-7;2.4773317900153705E-7;2.5277371588485565E-7;1.4529149234237256E-7;-1.4939637816067973E-7;-6.306787872048752E-8;-2.391594760952082E-7;1.2720558450134552E-7;-1.0105296325970037E-8;1.9531152352696232E-7;1.2912806804468122E-7;-1.7882426519793307E-7;-2.0282709237245808E-7;8.742191939571342E-8;2.95039282876931E-12;-1.4463704476656776E-7;1.7184942552453624E-7;2.9607656627929468E-8
0.07500000000000001;0.004999999999999999;-6.220464531687745E-8;3.620651266559129E-8;-9.017886436601998E-8;3.6147161502652055E-7;-1.3676261553738075E-8;2.870510255217466E-7;3.7438801018284867E-7;-1.0587775838572185E-7;-1.1591692323025736E-7;3.505647791111925E-7;-1.9202582875975296E-7;-1.4021393087787995E-7;1.298472015838668E-7;2.8954993310433754E-7;-1.305466599599373E-8;-1.708446467375509E-7;-2.6176213040027546E-7;-1.8833273785629832E-7;-2.012738877784694E-7;-2.5719220723669123E-7;-6.18995645172455E-8;-2.397146246116951E-7;-2.2493062777609033E-7;2.2054435024103018E-7;2.239461429662206E-7;2.3124156778163665E-7;-1.0551326139191735E-7;9.73647800620968E-8;-2.1532902508442935E-7;-2.049734903532072E-8;-1.477599335561052E-7;2.0832605512851072E-7;1.012172515225665E-7;-1.331515615037833E-7;-1.9058696636426805E-7;-7.345109150058318E-8;-3.0768988894002303E-12;-1.8618616182576977E-7;6.674168987590581E-8;1.1713576573380037E-7
85;0.004999999999999999;-7.089480775448949E-8;4.8147167152613306E-8;-1.0590212324635109E-7;3.59517749633719E-7;1.856283647909398E-8;2.716730486200312E-7;3.759491136854605E-7;-6.378253170395368E-8;-7.028591483869995E-8;3.5831806007790734E-7;-2.2651237591520191E-7;-1.7355939950427986E-7;7.930860870284031E-8;3.1337986158342024E-7;-4.059584239303856E-8;-1.0605347864534046E-7;-3.1142054589698744E-7;-1.2795685984517967E-7;-1.8578355427528713E-7;-1.720211294985123E-7;-3.487333409691573E-8;-1.6631682881900114E-7;-2.794507135787955E-7;1.9888218809158807E-7;1.535815616214557E-7;2.9557553362240177E-7;-6.239499542154141E-8;2.4029654339736714E-7;-1.4856994444442262E-7;-1.5435236562474792E-7;-2.6601213092756496E-7;2.2257554847812992E-7;6.786129228014438E-8;-8.180669643027146E-8;-1.3499234677039193E-7;-2.206151593847228E-7;-5.867737332007748E-12;-2.1075629814178218E-7;-2.9543510270915996E-8;2.00488727975191E-7
95;0.004999999999999999;-7.958497019116753E-8;6.008782163634748E-8;-1.2162538212979278E-7;3.5756388423946435E-7;5.0801934511243404E-8;2.5629507171824556E-7;3.7673789471416874E-7;-2.132650580555832E-8;-2.3587357127393004E-8;3.622599787082616E-7;-2.441491549642268E-7;-1.9068286552338846E-7;2.6730218013173736E-8;3.256686562032375E-7;-5.4881150796208113E-8;-3.6074103606603246E-8;-3.373186999721024E-7;-4.526919563545401E-8;-1.77616979863964E-7;-6.057065439185259E-8;-1.145773664307512E-8;-6.507758980094248E-8;-3.0999374106974777E-7;1.8709043438318807E-7;5.49472843782115E-8;3.3012053774794845E-7;-2.0358766310736725E-8;3.2377983897987757E-7;-5.236747644907566E-8;-2.334684028759702E-7;-3.343058560062017E-7;2.316744511116842E-7;4.604948275710064E-8;-2.752055357010706E-8;-4.880156012669209E-8;-3.0817346292316405E-7;-4.862582630590554E-12;-2.219230030820455E-7;-8.690576442160798E-8;2.510908797094321E-7
